busco_coleoptera_odb12,Coleoptera_ALG
28258at7041,C1
28620at7041,C1
28693at7041,C1
28715at7041,C1
28920at7041,C1
29214at7041,C1
29252at7041,C1
29352at7041,C1
29574at7041,C1
29663at7041,C1
30173at7041,C1
30449at7041,C1
30722at7041,C1
30727at7041,C1
31399at7041,C1
31973at7041,C1
33079at7041,C1
33607at7041,C1
3360at7041,C1
33611at7041,C1
33656at7041,C1
33689at7041,C1
34287at7041,C1
3439at7041,C1
34440at7041,C1
34880at7041,C1
35003at7041,C1
35249at7041,C1
35300at7041,C1
35324at7041,C1
35328at7041,C1
35883at7041,C1
36031at7041,C1
36032at7041,C1
36390at7041,C1
36569at7041,C1
37034at7041,C1
37388at7041,C1
37391at7041,C1
37729at7041,C1
38078at7041,C1
39095at7041,C1
39810at7041,C1
39827at7041,C1
40103at7041,C1
40184at7041,C1
41144at7041,C1
41268at7041,C1
41576at7041,C1
41633at7041,C1
42154at7041,C1
42421at7041,C1
43003at7041,C1
43024at7041,C1
4306at7041,C1
43514at7041,C1
44169at7041,C1
44177at7041,C1
44188at7041,C1
44256at7041,C1
44276at7041,C1
44535at7041,C1
44778at7041,C1
45430at7041,C1
45735at7041,C1
4574at7041,C1
45804at7041,C1
4621at7041,C1
4657at7041,C1
46594at7041,C1
46831at7041,C1
47193at7041,C1
47638at7041,C1
47861at7041,C1
48017at7041,C1
48058at7041,C1
4864at7041,C1
48730at7041,C1
49182at7041,C1
49226at7041,C1
4924at7041,C1
49445at7041,C1
49697at7041,C1
49786at7041,C1
49831at7041,C1
49856at7041,C1
50172at7041,C1
50304at7041,C1
50436at7041,C1
50637at7041,C1
50655at7041,C1
50923at7041,C1
50972at7041,C1
51320at7041,C1
51380at7041,C1
51487at7041,C1
51516at7041,C1
51541at7041,C1
51562at7041,C1
52426at7041,C1
52514at7041,C1
52715at7041,C1
52868at7041,C1
53082at7041,C1
53181at7041,C1
53412at7041,C1
53438at7041,C1
53572at7041,C1
53793at7041,C1
53841at7041,C1
53883at7041,C1
54813at7041,C1
54972at7041,C1
55051at7041,C1
55347at7041,C1
55467at7041,C1
55521at7041,C1
55586at7041,C1
55679at7041,C1
55728at7041,C1
55783at7041,C1
56281at7041,C1
56328at7041,C1
56377at7041,C1
56956at7041,C1
57146at7041,C1
57378at7041,C1
58351at7041,C1
58474at7041,C1
59300at7041,C1
59809at7041,C1
5981at7041,C1
59906at7041,C1
59929at7041,C1
60009at7041,C1
60309at7041,C1
60590at7041,C1
60841at7041,C1
60995at7041,C1
61046at7041,C1
61212at7041,C1
61439at7041,C1
61709at7041,C1
61824at7041,C1
62051at7041,C1
62305at7041,C1
62318at7041,C1
62322at7041,C1
62328at7041,C1
62670at7041,C1
62761at7041,C1
63145at7041,C1
63152at7041,C1
63444at7041,C1
63874at7041,C1
63882at7041,C1
64062at7041,C1
64199at7041,C1
64203at7041,C1
64521at7041,C1
648at7041,C1
65068at7041,C1
6508at7041,C1
65101at7041,C1
65332at7041,C1
65492at7041,C1
65542at7041,C1
6586at7041,C1
66148at7041,C1
66328at7041,C1
6641at7041,C1
66890at7041,C1
67153at7041,C1
67252at7041,C1
67274at7041,C1
67288at7041,C1
67744at7041,C1
68032at7041,C1
68098at7041,C1
6810at7041,C1
68231at7041,C1
68385at7041,C1
68414at7041,C1
68931at7041,C1
68969at7041,C1
69321at7041,C1
69348at7041,C1
69350at7041,C1
69484at7041,C1
69604at7041,C1
7014at7041,C1
70405at7041,C1
70521at7041,C1
70655at7041,C1
70931at7041,C1
71128at7041,C1
7117at7041,C1
71398at7041,C1
71403at7041,C1
71465at7041,C1
7190at7041,C1
72102at7041,C1
72721at7041,C1
72880at7041,C1
72997at7041,C1
73339at7041,C1
73550at7041,C1
73584at7041,C1
73810at7041,C1
74425at7041,C1
7467at7041,C1
75078at7041,C1
75280at7041,C1
7532at7041,C1
754at7041,C1
757at7041,C1
75952at7041,C1
76053at7041,C1
76076at7041,C1
76533at7041,C1
76651at7041,C1
76654at7041,C1
76725at7041,C1
77170at7041,C1
77487at7041,C1
77734at7041,C1
77758at7041,C1
77811at7041,C1
77910at7041,C1
78215at7041,C1
78248at7041,C1
78368at7041,C1
78742at7041,C1
79192at7041,C1
79642at7041,C1
79646at7041,C1
79838at7041,C1
80014at7041,C1
80072at7041,C1
80563at7041,C1
80870at7041,C1
81146at7041,C1
8128at7041,C1
81670at7041,C1
82021at7041,C1
82079at7041,C1
82105at7041,C1
82560at7041,C1
82676at7041,C1
82750at7041,C1
82766at7041,C1
82808at7041,C1
83294at7041,C1
83510at7041,C1
83968at7041,C1
84065at7041,C1
84083at7041,C1
84088at7041,C1
84186at7041,C1
84474at7041,C1
84699at7041,C1
84925at7041,C1
84977at7041,C1
85216at7041,C1
85916at7041,C1
86010at7041,C1
860at7041,C1
86414at7041,C1
86909at7041,C1
87188at7041,C1
87224at7041,C1
87360at7041,C1
87429at7041,C1
87621at7041,C1
87816at7041,C1
87961at7041,C1
88223at7041,C1
88478at7041,C1
88765at7041,C1
88832at7041,C1
89157at7041,C1
89294at7041,C1
89562at7041,C1
89644at7041,C1
89763at7041,C1
89840at7041,C1
89904at7041,C1
9011at7041,C1
90167at7041,C1
90404at7041,C1
90495at7041,C1
90751at7041,C1
9076at7041,C1
9114at7041,C1
9153at7041,C1
91588at7041,C1
9160at7041,C1
91742at7041,C1
92051at7041,C1
92277at7041,C1
92325at7041,C1
92353at7041,C1
92510at7041,C1
92539at7041,C1
92747at7041,C1
92759at7041,C1
93160at7041,C1
93419at7041,C1
93453at7041,C1
93569at7041,C1
93591at7041,C1
93641at7041,C1
93865at7041,C1
94844at7041,C1
94845at7041,C1
94911at7041,C1
94961at7041,C1
95003at7041,C1
95024at7041,C1
9519at7041,C1
9562at7041,C1
95965at7041,C1
96234at7041,C1
96277at7041,C1
96422at7041,C1
96545at7041,C1
96548at7041,C1
9718at7041,C1
97390at7041,C1
97482at7041,C1
97674at7041,C1
97862at7041,C1
97898at7041,C1
97941at7041,C1
9860at7041,C1
98695at7041,C1
98769at7041,C1
98867at7041,C1
98969at7041,C1
99183at7041,C1
99236at7041,C1
99508at7041,C1
99928at7041,C1
99980at7041,C1
100433at7041,C2
100503at7041,C2
100937at7041,C2
100971at7041,C2
101313at7041,C2
101400at7041,C2
101802at7041,C2
101884at7041,C2
103222at7041,C2
103696at7041,C2
103741at7041,C2
104253at7041,C2
104721at7041,C2
104815at7041,C2
104949at7041,C2
105015at7041,C2
105210at7041,C2
105589at7041,C2
105771at7041,C2
106027at7041,C2
10639at7041,C2
107045at7041,C2
107233at7041,C2
107606at7041,C2
107631at7041,C2
108466at7041,C2
108515at7041,C2
108556at7041,C2
109058at7041,C2
109067at7041,C2
109255at7041,C2
109809at7041,C2
109858at7041,C2
110103at7041,C2
110790at7041,C2
111456at7041,C2
111940at7041,C2
11245at7041,C2
113989at7041,C2
114460at7041,C2
115137at7041,C2
115597at7041,C2
115734at7041,C2
115771at7041,C2
116190at7041,C2
116433at7041,C2
117191at7041,C2
118791at7041,C2
118899at7041,C2
118957at7041,C2
11899at7041,C2
119499at7041,C2
119947at7041,C2
120508at7041,C2
121048at7041,C2
121556at7041,C2
121685at7041,C2
122069at7041,C2
122837at7041,C2
123564at7041,C2
1246at7041,C2
124857at7041,C2
125271at7041,C2
125286at7041,C2
12570at7041,C2
126049at7041,C2
126330at7041,C2
127084at7041,C2
127146at7041,C2
12749at7041,C2
127977at7041,C2
128093at7041,C2
128594at7041,C2
128637at7041,C2
129499at7041,C2
133173at7041,C2
133316at7041,C2
133627at7041,C2
13472at7041,C2
13623at7041,C2
14018at7041,C2
14330at7041,C2
14463at7041,C2
14538at7041,C2
14865at7041,C2
14985at7041,C2
15268at7041,C2
15282at7041,C2
15356at7041,C2
163411at7041,C2
163472at7041,C2
163517at7041,C2
163526at7041,C2
163578at7041,C2
163582at7041,C2
163587at7041,C2
163613at7041,C2
163628at7041,C2
163687at7041,C2
163695at7041,C2
163700at7041,C2
163712at7041,C2
163761at7041,C2
163771at7041,C2
163790at7041,C2
163803at7041,C2
163827at7041,C2
163866at7041,C2
163883at7041,C2
163936at7041,C2
163943at7041,C2
163945at7041,C2
163980at7041,C2
164003at7041,C2
164042at7041,C2
164075at7041,C2
164093at7041,C2
164099at7041,C2
164213at7041,C2
164233at7041,C2
164243at7041,C2
164305at7041,C2
164322at7041,C2
164367at7041,C2
164384at7041,C2
164418at7041,C2
164435at7041,C2
164468at7041,C2
164481at7041,C2
164511at7041,C2
164554at7041,C2
164611at7041,C2
164663at7041,C2
164729at7041,C2
164738at7041,C2
164745at7041,C2
164771at7041,C2
164788at7041,C2
16479at7041,C2
164803at7041,C2
164822at7041,C2
164843at7041,C2
164882at7041,C2
164911at7041,C2
164916at7041,C2
164917at7041,C2
164924at7041,C2
164963at7041,C2
165012at7041,C2
165100at7041,C2
165137at7041,C2
165148at7041,C2
165190at7041,C2
165237at7041,C2
165268at7041,C2
165322at7041,C2
165329at7041,C2
165343at7041,C2
165357at7041,C2
165454at7041,C2
165460at7041,C2
165483at7041,C2
165515at7041,C2
165608at7041,C2
165624at7041,C2
165651at7041,C2
165752at7041,C2
165773at7041,C2
165804at7041,C2
165810at7041,C2
165833at7041,C2
165851at7041,C2
165852at7041,C2
165882at7041,C2
165897at7041,C2
165912at7041,C2
165942at7041,C2
166012at7041,C2
166105at7041,C2
166139at7041,C2
166141at7041,C2
166212at7041,C2
166223at7041,C2
166233at7041,C2
166255at7041,C2
166281at7041,C2
166285at7041,C2
166302at7041,C2
166314at7041,C2
166375at7041,C2
166395at7041,C2
166473at7041,C2
166487at7041,C2
166493at7041,C2
166506at7041,C2
166524at7041,C2
166614at7041,C2
166633at7041,C2
166654at7041,C2
166669at7041,C2
166689at7041,C2
166708at7041,C2
166743at7041,C2
166776at7041,C2
166804at7041,C2
166808at7041,C2
166809at7041,C2
166818at7041,C2
166821at7041,C2
166836at7041,C2
166852at7041,C2
166894at7041,C2
166921at7041,C2
166946at7041,C2
166957at7041,C2
166982at7041,C2
167025at7041,C2
167121at7041,C2
16713at7041,C2
167183at7041,C2
167243at7041,C2
167251at7041,C2
167357at7041,C2
167386at7041,C2
167408at7041,C2
167432at7041,C2
167440at7041,C2
167520at7041,C2
167546at7041,C2
167582at7041,C2
167654at7041,C2
167659at7041,C2
167660at7041,C2
167682at7041,C2
167688at7041,C2
167705at7041,C2
167758at7041,C2
167851at7041,C2
167888at7041,C2
167976at7041,C2
168003at7041,C2
168012at7041,C2
168019at7041,C2
168032at7041,C2
168152at7041,C2
168166at7041,C2
168244at7041,C2
168288at7041,C2
168304at7041,C2
168313at7041,C2
168364at7041,C2
168426at7041,C2
168464at7041,C2
168465at7041,C2
168466at7041,C2
168605at7041,C2
168631at7041,C2
168661at7041,C2
168678at7041,C2
168743at7041,C2
168778at7041,C2
168779at7041,C2
168791at7041,C2
168909at7041,C2
168920at7041,C2
168923at7041,C2
169004at7041,C2
169027at7041,C2
169030at7041,C2
169034at7041,C2
169036at7041,C2
169166at7041,C2
169186at7041,C2
169222at7041,C2
169237at7041,C2
169295at7041,C2
169347at7041,C2
169504at7041,C2
169524at7041,C2
169680at7041,C2
169768at7041,C2
169773at7041,C2
169782at7041,C2
169788at7041,C2
169803at7041,C2
169840at7041,C2
169865at7041,C2
169959at7041,C2
169972at7041,C2
170026at7041,C2
170027at7041,C2
170076at7041,C2
170129at7041,C2
170166at7041,C2
170197at7041,C2
170223at7041,C2
170229at7041,C2
170248at7041,C2
170254at7041,C2
170257at7041,C2
170282at7041,C2
170577at7041,C2
170585at7041,C2
170597at7041,C2
170673at7041,C2
170690at7041,C2
170748at7041,C2
170841at7041,C2
170869at7041,C2
170929at7041,C2
171010at7041,C2
171017at7041,C2
171071at7041,C2
171084at7041,C2
171102at7041,C2
171128at7041,C2
18730at7041,C2
1906at7041,C2
19232at7041,C2
19328at7041,C2
20148at7041,C2
20440at7041,C2
2104at7041,C2
21226at7041,C2
21299at7041,C2
21716at7041,C2
22192at7041,C2
22366at7041,C2
22566at7041,C2
22958at7041,C2
23016at7041,C2
23274at7041,C2
23860at7041,C2
24502at7041,C2
25749at7041,C2
25918at7041,C2
26293at7041,C2
26309at7041,C2
26626at7041,C2
27220at7041,C2
27510at7041,C2
27732at7041,C2
28054at7041,C2
28078at7041,C2
28127at7041,C2
28269at7041,C2
28463at7041,C2
29083at7041,C2
29182at7041,C2
29861at7041,C2
30055at7041,C2
30197at7041,C2
3085at7041,C2
31281at7041,C2
31406at7041,C2
32109at7041,C2
32229at7041,C2
32887at7041,C2
3317at7041,C2
33232at7041,C2
33262at7041,C2
35209at7041,C2
35232at7041,C2
35234at7041,C2
35248at7041,C2
3587at7041,C2
36429at7041,C2
37014at7041,C2
37046at7041,C2
3733at7041,C2
37737at7041,C2
37784at7041,C2
38173at7041,C2
38465at7041,C2
38688at7041,C2
39412at7041,C2
39648at7041,C2
39958at7041,C2
39991at7041,C2
40298at7041,C2
40342at7041,C2
40502at7041,C2
40658at7041,C2
40698at7041,C2
4118at7041,C2
41599at7041,C2
41696at7041,C2
41889at7041,C2
41910at7041,C2
42162at7041,C2
42170at7041,C2
42370at7041,C2
42704at7041,C2
42909at7041,C2
42914at7041,C2
43436at7041,C2
43516at7041,C2
43980at7041,C2
44752at7041,C2
45386at7041,C2
45420at7041,C2
45635at7041,C2
45784at7041,C2
45787at7041,C2
46039at7041,C2
46140at7041,C2
46166at7041,C2
46641at7041,C2
47137at7041,C2
47820at7041,C2
48106at7041,C2
48140at7041,C2
48547at7041,C2
4870at7041,C2
49012at7041,C2
49350at7041,C2
49812at7041,C2
50234at7041,C2
50422at7041,C2
50619at7041,C2
51083at7041,C2
517at7041,C2
52055at7041,C2
52134at7041,C2
5310at7041,C2
53535at7041,C2
5370at7041,C2
53805at7041,C2
54053at7041,C2
54678at7041,C2
54842at7041,C2
55234at7041,C2
55274at7041,C2
55520at7041,C2
55550at7041,C2
5634at7041,C2
56361at7041,C2
56449at7041,C2
56497at7041,C2
56735at7041,C2
56974at7041,C2
57239at7041,C2
57581at7041,C2
57765at7041,C2
57908at7041,C2
58066at7041,C2
583at7041,C2
58460at7041,C2
5859at7041,C2
58604at7041,C2
58719at7041,C2
59005at7041,C2
5901at7041,C2
59158at7041,C2
59574at7041,C2
59824at7041,C2
60026at7041,C2
60234at7041,C2
60625at7041,C2
60799at7041,C2
61038at7041,C2
6118at7041,C2
61698at7041,C2
62026at7041,C2
62359at7041,C2
62562at7041,C2
62874at7041,C2
63030at7041,C2
63242at7041,C2
63620at7041,C2
64522at7041,C2
64571at7041,C2
65625at7041,C2
65980at7041,C2
65982at7041,C2
66008at7041,C2
66170at7041,C2
66230at7041,C2
6687at7041,C2
67200at7041,C2
67593at7041,C2
676at7041,C2
68546at7041,C2
69163at7041,C2
69568at7041,C2
70572at7041,C2
71037at7041,C2
71051at7041,C2
71289at7041,C2
71763at7041,C2
71768at7041,C2
73743at7041,C2
73991at7041,C2
74599at7041,C2
74978at7041,C2
75303at7041,C2
75473at7041,C2
75611at7041,C2
75614at7041,C2
76011at7041,C2
7605at7041,C2
76103at7041,C2
76376at7041,C2
77476at7041,C2
77700at7041,C2
77905at7041,C2
7823at7041,C2
78361at7041,C2
78668at7041,C2
78966at7041,C2
793at7041,C2
79467at7041,C2
79515at7041,C2
8039at7041,C2
80601at7041,C2
80890at7041,C2
80919at7041,C2
81353at7041,C2
81411at7041,C2
82298at7041,C2
82327at7041,C2
82356at7041,C2
82362at7041,C2
82406at7041,C2
82441at7041,C2
82456at7041,C2
82660at7041,C2
83539at7041,C2
83583at7041,C2
83821at7041,C2
83908at7041,C2
84411at7041,C2
849at7041,C2
85349at7041,C2
85436at7041,C2
85815at7041,C2
85835at7041,C2
86111at7041,C2
8652at7041,C2
87303at7041,C2
87610at7041,C2
87873at7041,C2
88265at7041,C2
88778at7041,C2
89328at7041,C2
89374at7041,C2
89759at7041,C2
89801at7041,C2
90029at7041,C2
9013at7041,C2
90439at7041,C2
9060at7041,C2
90912at7041,C2
91389at7041,C2
91663at7041,C2
92093at7041,C2
92163at7041,C2
92178at7041,C2
92191at7041,C2
92266at7041,C2
92329at7041,C2
92412at7041,C2
92413at7041,C2
92985at7041,C2
9303at7041,C2
93303at7041,C2
93355at7041,C2
93519at7041,C2
93769at7041,C2
94524at7041,C2
94564at7041,C2
94778at7041,C2
9574at7041,C2
95949at7041,C2
9598at7041,C2
96363at7041,C2
96414at7041,C2
97029at7041,C2
97567at7041,C2
97854at7041,C2
9809at7041,C2
98197at7041,C2
98810at7041,C2
99138at7041,C2
99552at7041,C2
99835at7041,C2
100793at7041,C3
100922at7041,C3
100939at7041,C3
101816at7041,C3
102863at7041,C3
103218at7041,C3
103942at7041,C3
10397at7041,C3
104090at7041,C3
104461at7041,C3
104571at7041,C3
104793at7041,C3
104821at7041,C3
105205at7041,C3
105867at7041,C3
106159at7041,C3
106261at7041,C3
106903at7041,C3
107145at7041,C3
107254at7041,C3
107359at7041,C3
107951at7041,C3
107988at7041,C3
10805at7041,C3
108210at7041,C3
108346at7041,C3
108407at7041,C3
108743at7041,C3
108986at7041,C3
110202at7041,C3
110876at7041,C3
111152at7041,C3
11117at7041,C3
112162at7041,C3
112791at7041,C3
113337at7041,C3
114999at7041,C3
115050at7041,C3
11507at7041,C3
115315at7041,C3
115524at7041,C3
115598at7041,C3
116058at7041,C3
116386at7041,C3
116913at7041,C3
117113at7041,C3
118284at7041,C3
119152at7041,C3
12047at7041,C3
120539at7041,C3
122499at7041,C3
122900at7041,C3
123290at7041,C3
123451at7041,C3
124994at7041,C3
12571at7041,C3
126168at7041,C3
128650at7041,C3
129095at7041,C3
13019at7041,C3
130670at7041,C3
131696at7041,C3
132223at7041,C3
13228at7041,C3
133090at7041,C3
133100at7041,C3
133306at7041,C3
134329at7041,C3
135746at7041,C3
135753at7041,C3
135785at7041,C3
13619at7041,C3
1422at7041,C3
14787at7041,C3
15046at7041,C3
15764at7041,C3
157at7041,C3
15963at7041,C3
16179at7041,C3
163459at7041,C3
163492at7041,C3
163506at7041,C3
163550at7041,C3
163557at7041,C3
163572at7041,C3
163699at7041,C3
163722at7041,C3
163726at7041,C3
163740at7041,C3
163801at7041,C3
163910at7041,C3
163970at7041,C3
164018at7041,C3
164069at7041,C3
164096at7041,C3
164150at7041,C3
16415at7041,C3
164172at7041,C3
164202at7041,C3
164214at7041,C3
164256at7041,C3
164262at7041,C3
164291at7041,C3
16432at7041,C3
164342at7041,C3
164353at7041,C3
164383at7041,C3
164432at7041,C3
164502at7041,C3
164538at7041,C3
164564at7041,C3
164621at7041,C3
164630at7041,C3
164644at7041,C3
164650at7041,C3
164654at7041,C3
164667at7041,C3
164699at7041,C3
164823at7041,C3
164895at7041,C3
